verdict,country,city,landmark,why,slug,idx,img,page
WRONG,Canada,Kelowna,Okanagan Heritage Museum,"lake beach, not a museum",kelowna,8,images/landmarks/kelowna-okanagan-heritage-museum.webp,"https://commons.wikimedia.org/wiki/File:Peachland,_British_Columbia.jpg"
WRONG,Chile,Puerto Natales,Cementerio Municipal de Puerto Natales,"a Mediterranean villa, not a cemetery",puerto-natales,9,images/landmarks/puerto-natales-cementerio-municipal-de-puerto-natales.webp,https://commons.wikimedia.org/wiki/File:Castillo_Serralles.JPG
WRONG,China,Beihai,Silver Beach (Yintan),"shopping plaza entrance, not the beach",beihai,0,images/landmarks/beihai-silver-beach-yintan.webp,https://commons.wikimedia.org/wiki/File:BeiHaiYanTan.jpg
WRONG,China,Chongqing,Nanshan Yizhi Botanical Garden (One Tree Viewing Platform),"city skyline, not a botanical garden",chongqing,7,images/landmarks/chongqing-nanshan-yizhi-botanical-garden.webp,https://commons.wikimedia.org/wiki/File:SkylineOfChongqing.jpg
WRONG,China,Fenghuang,Former Residence of Shen Congwen,"portrait of Shen Congwen, not his residence",fenghuang,5,images/landmarks/fenghuang-former-residence-of-shen-congwen.webp,https://commons.wikimedia.org/wiki/File:Shencongwen001.jpg
WRONG,China,Lijiang,Naxi Ancient Music Association,line drawing of musicians,lijiang,9,images/landmarks/lijiang-naxi-ancient-music-association.webp,https://commons.wikimedia.org/wiki/File:Chinesezither.jpg
WRONG,China,Yangzhou,Wangshi Xiaoyuan (Wang Family Compound),an information board / floor plan,yangzhou,9,images/landmarks/yangzhou-wangshi-xiaoyuan.webp,https://commons.wikimedia.org/wiki/File:汪氏小苑0842.jpg
WRONG,China,Zhangjiajie,Ten-Mile Natural Gallery,interior of a train window,zhangjiajie,9,images/landmarks/zhangjiajie-ten-mile-natural-gallery.webp,https://commons.wikimedia.org/wiki/File:张家界十里画廊小火车.jpeg
WRONG,China,Zhangye,Shandan Military Horse Ranch,a blank billboard in a field,zhangye,7,images/landmarks/zhangye-shandan-military-horse-ranch.webp,https://commons.wikimedia.org/wiki/File:山丹军马场.jpeg
WRONG,Dominican Republic,La Romana,Central Romana Sugar Mill,"a church, not a sugar mill",la-romana,8,images/landmarks/la-romana-central-romana-sugar-mill.webp,https://commons.wikimedia.org/wiki/File:Dominicana-Altos_de_Chavon.jpg
WRONG,Ecuador,Quito,TelefériQo,"a bird in grass, not the cable car",quito,4,images/landmarks/quito-teleferiqo.webp,"https://commons.wikimedia.org/wiki/File:Curiquingue,_cerca_de_la_estaci%C3%B3n_del_Telef%C3%A9riQo.jpg"
WRONG,Fiji,Nadi,Vuda Marina,a line-drawn map of Fiji,nadi,8,images/landmarks/nadi-vuda-marina.webp,https://commons.wikimedia.org/wiki/File:Viti_Levu_Islands.jpg
WRONG,France,Aix-en-Provence,Quartier Mazarin,historic engraved city plan,aix-en-provence,7,images/landmarks/aix-en-provence-quartier-mazarin.webp,https://commons.wikimedia.org/wiki/File:Devoux1753.jpeg
WRONG,Greece,Mytilene,Theophilos Museum,portrait of the painter Theophilos,mytilene,6,images/landmarks/mytilene-theophilos-museum.webp,https://commons.wikimedia.org/wiki/File:Theofilos-photo.jpeg
WRONG,Grenada,St. George's,Bay Gardens Botanical Reserve,"a wallaby, an Australian animal, in Grenada",st-george-s,9,images/landmarks/st-george-s-bay-gardens-botanical-reserve.webp,https://commons.wikimedia.org/wiki/File:Macropus_rufogriseus_rufogriseus_Juvenile_2.jpg
WRONG,India,Cochin,Kerala Kathakali Centre,"a backwater houseboat, not a dance theatre",cochin,6,images/landmarks/cochin-kerala-kathakali-centre.webp,https://commons.wikimedia.org/wiki/File:Boathouse_(7063399547).jpg
WRONG,Iraq,Baghdad,Abu Hanifa Mosque,"postcard captioned 'A View of Moazam', a different place",baghdad,1,images/landmarks/baghdad-abu-hanifa-mosque.webp,https://commons.wikimedia.org/wiki/File:A%20View%20of%20Abu%20Hanifa%20Mosque%20in%20Adhamiyah.jpg
WRONG,Ireland,Dublin,Phoenix Park,"a three-image collage, not a photograph",dublin,8,images/landmarks/dublin-phoenix-park.webp,https://commons.wikimedia.org/wiki/File:PhoenixParkWMurphy.jpg
WRONG,Jamaica,Kingston,Lime Cay,a labelled satellite / nautical chart,kingston,9,images/landmarks/kingston-lime-cay.webp,https://commons.wikimedia.org/wiki/File:Port_Royal_Cays.png
WRONG,Japan,Hirosaki,Hirosaki Apple Park,"Neputa festival floats, not an apple park",hirosaki,7,images/landmarks/hirosaki-hirosaki-apple-park.webp,https://commons.wikimedia.org/wiki/File:%C5%8Cgi_Neputa_2.jpg
WRONG,Kosovo,Pristina,Bill Clinton Statue,"a night highway overpass, no statue",pristina,9,images/landmarks/pristina-bill-clinton-statue.webp,https://commons.wikimedia.org/wiki/File:PrishtinaAtNight.JPG
WRONG,Mali,Bamako,National Museum of Mali,"a loaded bush taxi, not the museum",bamako,3,images/landmarks/bamako-national-museum-of-mali.webp,https://commons.wikimedia.org/wiki/File:Au%20Mus%C3%A9e%20National%20du%20Mali%20-%20Bamako%2C%20MALI.jpg
WRONG,Nigeria,Calabar,Duke Town Presbyterian Church,a historic lantern slide with its frame and label in shot,calabar,5,images/landmarks/calabar-duke-town-presbyterian-church.webp,https://commons.wikimedia.org/w/index.php?search=Duke%20Town%20Presbyterian%20Church%20Calabar&title=Special:MediaSearch
WRONG,Saudi Arabia,Ta'if,Souk Okaz,a hand-drawn map,ta-if,2,images/landmarks/taif-souk-okaz.webp,https://commons.wikimedia.org/wiki/File:%D8%B3%D9%88%D9%82_%D8%B9%D9%83%D8%A7%D8%B8.JPG
WRONG,Tanzania,Moshi,Marangu Village and Chagga Caves,a map of Kilimanjaro,moshi,5,images/landmarks/moshi-marangu-village-and-chagga-caves.webp,"https://commons.wikimedia.org/wiki/File:561_of_%27Across_East_African_Glaciers._An_account_of_the_first_ascent_of_Kilimanjaro_..._Translated_from_the_German_by_E._H._S._Calder._With_..._illustrations_and_..._maps,_etc._(With_a_biography_and_appendices.)_L.P%27_(11208295136).jpg"
WRONG,Thailand,Phitsanulok,Thai Bird Garden,"classical Thai dancers, not a bird garden",phitsanulok,9,images/landmarks/phitsanulok-thai-bird-garden.webp,https://commons.wikimedia.org/wiki/File:%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B3%E0%B8%9D%E0%B8%A3%E0%B8%B1%E0%B9%88%E0%B8%87%E0%B8%84%E0%B8%B9%E0%B9%88.png
