City,Column,Old,New
Charlottetown,Hood 5 Photo Credit,https://commons.wikimedia.org/wiki/File:Prince_Edward_Island_034_(7893585948).jpg,
Charlottetown,Hood 5 Map Link,https://www.google.com/maps/search/?api=1&query=Sherwood%2C%20Charlottetown,
Charlottetown,Hood 5 High-end Hotel,Holiday Inn Express Charlottetown,
Charlottetown,Hood 5 Mid-range Hotel,Comfort Inn Charlottetown,
Charlottetown,Hood 5 Budget Hotel,Sherwood Motel,
Chiang Rai,Hood 4 Name,Golden Triangle,
Chiang Rai,Hood 4 Vibe,sights,
Chiang Rai,Hood 4 Description,"The historic river confluence where Thailand, Laos, and Myanmar meet, about an hour from the city.",
Chiang Rai,Hood 4 Landmark,The Golden Triangle's Thailand-Laos-Myanmar river confluence,
Chiang Rai,Hood 4 Map Link,https://www.google.com/maps/search/?api=1&query=Golden%20Triangle%2C%20Chiang%20Rai,
Chiang Rai,Hood 4 High-end Hotel,Golden Triangle resorts,
Chiang Rai,Hood 4 Mid-range Hotel,Anantara Golden Triangle Elephant Camp & Resort,
Chiang Rai,Hood 4 Budget Hotel,Border-area guesthouses,
Chiang Rai,Hood 5 Name,Doi Mae Salong,
Chiang Rai,Hood 5 Vibe,quiet,
Chiang Rai,Hood 5 Description,"A hilltop Yunnanese Chinese settlement amid tea plantations, offering cooler air and a distinct cultural feel.",
Chiang Rai,Hood 5 Landmark,Doi Mae Salong's hilltop tea plantations,
Chiang Rai,Hood 5 Photo File,images/hoods/chiang-rai--doi-mae-salong.webp,
Chiang Rai,Hood 5 Photo Credit,https://commons.wikimedia.org/wiki/File:2014_0601_Mae_Salong_tea_plantations.jpg,
Chiang Rai,Hood 5 Map Link,https://www.google.com/maps/search/?api=1&query=Doi%20Mae%20Salong%2C%20Chiang%20Rai,
Chiang Rai,Hood 5 High-end Hotel,Doi Mae Salong tea plantation guesthouses,
Chiang Rai,Hood 5 Mid-range Hotel,Hilltop mountain lodges,
Chiang Rai,Hood 5 Budget Hotel,Yunnanese-style stays,
Girona,Hood 5 Name,Pedret,
Girona,Hood 5 Vibe,quiet,
Girona,Hood 5 Description,"A low-key riverside area northeast of the old town with the Romanesque Sant Pere monastery, mostly of interest to history-focused visitors.",
Girona,Hood 5 Landmark,The Romanesque Sant Pere de Galligants monastery,
Girona,Hood 5 Photo File,images/hoods/girona--pedret.webp,
Girona,Hood 5 Photo Credit,https://commons.wikimedia.org/wiki/File:Entremitgeres_Pedret_1_Girona.jpg,
Girona,Hood 5 Map Link,https://www.google.com/maps/search/?api=1&query=Pedret%2C%20Girona,
Girona,Hood 5 High-end Hotel,Pedret riverside guesthouses,
Girona,Hood 5 Mid-range Hotel,Sant Pere area B&Bs,
Girona,Hood 5 Budget Hotel,Budget local pensions,
Göreme,Hood 5 Name,Avanos (Kızılırmak riverside),
Göreme,Hood 5 Vibe,quiet,
Göreme,Hood 5 Description,"A riverside town known for centuries-old pottery workshops, a quieter alternative base connected to Göreme by regular dolmuş minibuses.",
Göreme,Hood 5 Landmark,Avanos pottery workshops on the Red River,
Göreme,Hood 5 Photo File,images/hoods/goreme--avanos-kizilirmak-riverside.webp,
Göreme,Hood 5 Photo Credit,https://commons.wikimedia.org/wiki/File:Avanos_Carsisinda_Kabartma_-_panoramio.jpg,
Göreme,Hood 5 Map Link,https://www.google.com/maps/search/?api=1&query=Avanos%20%28K%C4%B1z%C4%B1l%C4%B1rmak%20riverside%29%2C%20G%C3%B6reme,
Göreme,Hood 5 High-end Hotel,Avanos Riverside Hotel,
Göreme,Hood 5 Mid-range Hotel,Pottery Town Guesthouse,
Göreme,Hood 5 Budget Hotel,Kızılırmak Riverside Inn,
Harar,Hood 4 Name,Arthur Rimbaud House,
Harar,Hood 4 Vibe,quiet,
Harar,Hood 4 Description,"A restored merchant house associated with the French poet Arthur Rimbaud, now a small museum on 19th-century Harar.",
Harar,Hood 4 Landmark,The former residence-turned-museum of poet Arthur Rimbaud,
Harar,Hood 4 Map Link,https://www.google.com/maps/search/?api=1&query=Arthur%20Rimbaud%20House%2C%20Harar,
Harar,Hood 4 High-end Hotel,Rimbaud House-area guesthouses,
Harar,Hood 4 Mid-range Hotel,Old city boutique stays,
Harar,Hood 4 Budget Hotel,Historic quarter lodging,
Harar,Hood 5 Name,Harar National Museum Area,
Harar,Hood 5 Vibe,quiet,
Harar,Hood 5 Description,"A museum covering Harari culture, crafts, and history, useful context before exploring the old city itself.",
Harar,Hood 5 Landmark,Harar National Museum's ethnographic collections,
Harar,Hood 5 Map Link,https://www.google.com/maps/search/?api=1&query=Harar%20National%20Museum%20Area%2C%20Harar,
Harar,Hood 5 High-end Hotel,Museum-district guesthouses,
Harar,Hood 5 Mid-range Hotel,Central Harar hotels,
Harar,Hood 5 Budget Hotel,Cultural quarter lodging,
Kanchanaburi,Hood 4 Name,Erawan National Park (day-trip),
Kanchanaburi,Hood 4 Vibe,quiet,
Kanchanaburi,Hood 4 Description,"A national park about 90 minutes away with Thailand's most famous multi-tiered waterfall, popular for a swim.",
Kanchanaburi,Hood 4 Landmark,Erawan Waterfall's seven emerald-pool tiers,
Kanchanaburi,Hood 4 Map Link,https://www.google.com/maps/search/?api=1&query=Erawan%20National%20Park%20%28day-trip%29%2C%20Kanchanaburi,
Kanchanaburi,Hood 4 High-end Hotel,Erawan National Park lodges,
Kanchanaburi,Hood 4 Mid-range Hotel,Waterfall-area guesthouses,
Kanchanaburi,Hood 4 Budget Hotel,Rural park-adjacent stays,
Kanchanaburi,Hood 5 Name,River Kwai Raft Houses,
Kanchanaburi,Hood 5 Vibe,quiet,
Kanchanaburi,Hood 5 Description,"Floating guesthouses and rafts along the River Kwai, offering a unique overnight stay directly on the water.",
Kanchanaburi,Hood 5 Landmark,The River Kwai's floating raft house resorts,
Kanchanaburi,Hood 5 Photo File,images/hoods/kanchanaburi--river-kwai-raft-houses.webp,
Kanchanaburi,Hood 5 Photo Credit,https://commons.wikimedia.org/wiki/File:River_Qwai_and_Sugar_Cane_Raft_Houses_-_panoramio_(1).jpg,
Kanchanaburi,Hood 5 Map Link,https://www.google.com/maps/search/?api=1&query=River%20Kwai%20Raft%20Houses%2C%20Kanchanaburi,
Kanchanaburi,Hood 5 High-end Hotel,River Kwai raft house resorts,
Kanchanaburi,Hood 5 Mid-range Hotel,Floating bungalow stays,
Kanchanaburi,Hood 5 Budget Hotel,River Kwai Jungle Rafts,
Lalibela,Hood 4 Name,Lalibela Town Center,
Lalibela,Hood 4 Vibe,central,
Lalibela,Hood 4 Description,"The modern town with the market, guesthouses, and restaurants, a short walk from the church complexes.",
Lalibela,Hood 4 Landmark,Lalibela's market and main street of guesthouses,
Lalibela,Hood 4 Map Link,https://www.google.com/maps/search/?api=1&query=Lalibela%20Town%20Center%2C%20Lalibela,
Lalibela,Hood 4 High-end Hotel,Town center guesthouses,
Lalibela,Hood 4 Mid-range Hotel,Market-area budget hotels,
Lalibela,Hood 4 Budget Hotel,Main street lodging,
Lalibela,Hood 5 Name,Ashetan Maryam (outlying),
Lalibela,Hood 5 Vibe,quiet,
Lalibela,Hood 5 Description,"A remote monastery reached by a steep hike or mule ride above town, rewarding visitors with sweeping highland views.",
Lalibela,Hood 5 Landmark,Ashetan Maryam monastery's highland viewpoint,
Lalibela,Hood 5 Map Link,https://www.google.com/maps/search/?api=1&query=Ashetan%20Maryam%20%28outlying%29%2C%20Lalibela,
Lalibela,Hood 5 High-end Hotel,Ashetan Maryam trekking guides' accommodations,
Lalibela,Hood 5 Mid-range Hotel,Highland monastery-area stays,
Lalibela,Hood 5 Budget Hotel,Remote guesthouse lodging,
Leticia,Hood 4 Name,Km 11 (Reserva Natural Tanimboca area),
Leticia,Hood 4 Vibe,sights,
Leticia,Hood 4 Description,A rainforest reserve just outside town offering canopy walkways and overnight jungle lodges without a long river journey.,
Leticia,Hood 4 Landmark,The Tanimboca canopy and rainforest reserve outside town,
Leticia,Hood 4 Photo File,images/hoods/leticia--km-11-reserva-natural-tanimboca-area.webp,
Leticia,Hood 4 Photo Credit,https://commons.wikimedia.org/wiki/File:Amazon_River_ESA22197053.tiff,
Leticia,Hood 4 Map Link,https://www.google.com/maps/search/?api=1&query=Km%2011%20%28Reserva%20Natural%20Tanimboca%20area%29%2C%20Leticia,
Leticia,Hood 4 High-end Hotel,Tanimboca Reserve treehouse cabins,
Leticia,Hood 4 Mid-range Hotel,Canopy lodge stays,
Leticia,Hood 4 Budget Hotel,Rainforest eco-lodges,
Leticia,Hood 5 Name,Amacayacu National Park (day-trip base),
Leticia,Hood 5 Vibe,quiet,
Leticia,Hood 5 Description,"A national park reached by river boat, protecting primary Amazon rainforest and offering multi-day guided treks.",
Leticia,Hood 5 Landmark,Amacayacu National Park's rainforest trails,
Leticia,Hood 5 Map Link,https://www.google.com/maps/search/?api=1&query=Amacayacu%20National%20Park%20%28day-trip%20base%29%2C%20Leticia,
Leticia,Hood 5 High-end Hotel,Amacayacu jungle lodges,
Leticia,Hood 5 Mid-range Hotel,Multi-day expedition camps,
Leticia,Hood 5 Budget Hotel,River-access eco-cabins,
Manzhouli,Hood 4 Name,Railway Station District,
Manzhouli,Hood 4 Vibe,sights,
Manzhouli,Hood 4 Description,"The historic railway quarter built during the Russian-administered Chinese Eastern Railway era, with the city's oldest surviving station architecture.",
Manzhouli,Hood 4 Landmark,Manzhouli's historic Russian-built railway station,
Manzhouli,Hood 4 Map Link,https://www.google.com/maps/search/?api=1&query=Railway%20Station%20District%2C%20Manzhouli,
Manzhouli,Hood 4 High-end Hotel,Railway Station Guesthouse,
Manzhouli,Hood 4 Mid-range Hotel,Old Manzhouli Heritage Inn,
Manzhouli,Hood 4 Budget Hotel,Station District Hotel,
Manzhouli,Hood 5 Name,Xingfu (Happiness) District,
Manzhouli,Hood 5 Vibe,quiet,
Manzhouli,Hood 5 Description,"A quieter residential district away from the tourist core, with everyday shops and local eateries for a look at ordinary Manzhouli life.",
Manzhouli,Hood 5 Landmark,Local residential streets and everyday markets,
Manzhouli,Hood 5 Photo File,images/hoods/manzhouli--xingfu-happiness-district.webp,
Manzhouli,Hood 5 Photo Credit,https://commons.wikimedia.org/wiki/File:%E6%96%B0%E5%AF%8C%E5%B8%82%E5%A0%B41127.jpg,
Manzhouli,Hood 5 Map Link,https://www.google.com/maps/search/?api=1&query=Xingfu%20%28Happiness%29%20District%2C%20Manzhouli,
Manzhouli,Hood 5 High-end Hotel,Xingfu District Business Hotel,
Manzhouli,Hood 5 Mid-range Hotel,Local Homestay Manzhouli,
Manzhouli,Hood 5 Budget Hotel,Happiness District Inn,
Mar del Plata,Hood 5 Name,Constitucion Avenue,
Mar del Plata,Hood 5 Vibe,nightlife,
Mar del Plata,Hood 5 Description,"A lively strip of pubs, nightclubs, and late-night entertainment, especially busy during the summer tourist season.",
Mar del Plata,Hood 5 Landmark,Avenida Constitución's nightlife and entertainment strip,
Mar del Plata,Hood 5 Photo File,images/hoods/mar-del-plata--constitucion-avenue.webp,
Mar del Plata,Hood 5 Photo Credit,https://commons.wikimedia.org/wiki/File:Viviendas_en_Avenida_de_la_Constituci%C3%B3n_-_IMG_20250918_084217.jpg,
Mar del Plata,Hood 5 Map Link,https://www.google.com/maps/search/?api=1&query=Constitucion%20Avenue%2C%20Mar%20del%20Plata,
Mar del Plata,Hood 5 High-end Hotel,Constitucion Avenue hotels,
Mar del Plata,Hood 5 Mid-range Hotel,Nightlife-strip guesthouses,
Mar del Plata,Hood 5 Budget Hotel,Budget entertainment-district inns,
Mont-Saint-Michel,Hood 4 Name,Mainland Visitor Village,
Mont-Saint-Michel,Hood 4 Vibe,central,
Mont-Saint-Michel,Hood 4 Description,"The mainland hub a couple km away with parking, hotels, and the free shuttle bus or footbridge walk to the mount.",
Mont-Saint-Michel,Hood 4 Landmark,The mainland shuttle terminal and visitor center,
Mont-Saint-Michel,Hood 4 Photo File,images/hoods/mont-saint-michel--mainland-visitor-village.webp,
Mont-Saint-Michel,Hood 4 Photo Credit,"https://commons.wikimedia.org/wiki/File:Oak_Island,_Brunswick_County,_North_Carolina,_United_States_(2024-05-18-02-25-59_UMBRA-05).tiff",
Mont-Saint-Michel,Hood 4 Map Link,https://www.google.com/maps/search/?api=1&query=Mainland%20Visitor%20Village%2C%20Mont-Saint-Michel,
Mont-Saint-Michel,Hood 4 High-end Hotel,Le Relais du Roy,
Mont-Saint-Michel,Hood 4 Mid-range Hotel,Mercure Mont Saint Michel,
Mont-Saint-Michel,Hood 4 Budget Hotel,Mainland hotels near the shuttle terminal,
Mont-Saint-Michel,Hood 5 Name,Bay Crossing Area,
Mont-Saint-Michel,Hood 5 Vibe,quiet,
Mont-Saint-Michel,Hood 5 Description,"The vast tidal bay surrounding the mount, walkable only with a licensed guide due to fast-moving tides and quicksand.",
Mont-Saint-Michel,Hood 5 Landmark,The tidal bay's guided low-tide walking routes,
Mont-Saint-Michel,Hood 5 Map Link,https://www.google.com/maps/search/?api=1&query=Bay%20Crossing%20Area%2C%20Mont-Saint-Michel,
Mont-Saint-Michel,Hood 5 High-end Hotel,Bay-view mainland guesthouses,
Mont-Saint-Michel,Hood 5 Mid-range Hotel,Guide-arranged overnight packages,
Mont-Saint-Michel,Hood 5 Budget Hotel,Nearby coastal B&Bs,
Pai,Hood 4 Name,Yun Lai Viewpoint,
Pai,Hood 4 Vibe,sights,
Pai,Hood 4 Description,A hilltop viewpoint over the Chinese settlement of Santichon and the surrounding rice fields and mountains.,
Pai,Hood 4 Landmark,Yun Lai Viewpoint's panorama over the Chinese village and valley,
Pai,Hood 4 Map Link,https://www.google.com/maps/search/?api=1&query=Yun%20Lai%20Viewpoint%2C%20Pai,
Pai,Hood 4 High-end Hotel,Yun Lai Viewpoint guesthouses,
Pai,Hood 4 Mid-range Hotel,Chinese village-area stays,
Pai,Hood 4 Budget Hotel,Mountain-view bungalows,
Pai,Hood 5 Name,Wat Phra That Mae Yen,
Pai,Hood 5 Vibe,sights,
Pai,Hood 5 Description,"A temple atop a hill overlooking the town, reachable by a steep staircase or scooter, with a giant white Buddha statue.",
Pai,Hood 5 Landmark,Wat Phra That Mae Yen's hilltop temple and town view,
Pai,Hood 5 Photo File,images/hoods/pai--wat-phra-that-mae-yen.webp,
Pai,Hood 5 Photo Credit,https://commons.wikimedia.org/wiki/File:Wat_Phra_That_Mae_Yen_1.jpg,
Pai,Hood 5 Map Link,https://www.google.com/maps/search/?api=1&query=Wat%20Phra%20That%20Mae%20Yen%2C%20Pai,
Pai,Hood 5 High-end Hotel,Wat Phra That Mae Yen-area guesthouses,
Pai,Hood 5 Mid-range Hotel,Hilltop stays,
Pai,Hood 5 Budget Hotel,Temple-view lodging,
Pristina,Hood 5 Name,Dragodan / Velania,
Pristina,Hood 5 Vibe,quiet,
Pristina,Hood 5 Description,"Hillside residential neighborhoods just outside the center, offering panoramic views over the city and a quieter, more local base.",
Pristina,Hood 5 Landmark,Dragodan and Velania's hillside residential neighborhoods with city views,
Pristina,Hood 5 Photo File,images/hoods/pristina--dragodan-velania.webp,
Pristina,Hood 5 Photo Credit,https://commons.wikimedia.org/wiki/File:Prishtina_in_fog.jpg,
Pristina,Hood 5 Map Link,https://www.google.com/maps/search/?api=1&query=Dragodan%20/%20Velania%2C%20Pristina,
Pristina,Hood 5 High-end Hotel,Dragodan hillside guesthouses,
Pristina,Hood 5 Mid-range Hotel,Velania residential B&Bs,
Pristina,Hood 5 Budget Hotel,City-view boutique stays,
Saint Martin's Island,Hood 4 Name,Chera Dwip (Golachipa),
Saint Martin's Island,Hood 4 Vibe,quiet,
Saint Martin's Island,Hood 4 Description,"A scenic islet reachable by boat or, at low tide, on foot, known for its dramatic isolation and quiet beaches.",
Saint Martin's Island,Hood 4 Landmark,"Chera Dwip, the islet cut off at high tide",
Saint Martin's Island,Hood 4 Map Link,https://www.google.com/maps/search/?api=1&query=Chera%20Dwip%20%28Golachipa%29%2C%20Saint%20Martin%27s%20Island,
Saint Martin's Island,Hood 4 High-end Hotel,Chera Dwip day-trip stays (limited),
Saint Martin's Island,Hood 4 Mid-range Hotel,Basic island lodging near the tip,
Saint Martin's Island,Hood 4 Budget Hotel,Guide-arranged overnight camps,
Saint Martin's Island,Hood 5 Name,Northern Coconut Groves,
Saint Martin's Island,Hood 5 Vibe,quiet,
Saint Martin's Island,Hood 5 Description,"A peaceful stretch of coconut groves on the island's quieter northern end, good for an escape from the jetty-area bustle.",
Saint Martin's Island,Hood 5 Landmark,The island's quiet northern coconut palm groves,
Saint Martin's Island,Hood 5 Photo File,images/hoods/saint-martin-s-island--northern-coconut-groves.webp,
Saint Martin's Island,Hood 5 Photo Credit,https://commons.wikimedia.org/wiki/File:Gavin_Newsom_signs_SB206_on_The_Shop_02.jpg,
Saint Martin's Island,Hood 5 Map Link,https://www.google.com/maps/search/?api=1&query=Northern%20Coconut%20Groves%2C%20Saint%20Martin%27s%20Island,
Saint Martin's Island,Hood 5 High-end Hotel,Coconut Grove guesthouses,
Saint Martin's Island,Hood 5 Mid-range Hotel,Quiet northern beach huts,
Saint Martin's Island,Hood 5 Budget Hotel,Local family homestays,
San Andrés,Hood 4 Name,La Loma,
San Andrés,Hood 4 Vibe,sights,
San Andrés,Hood 4 Description,"A hilltop Raizal community with island views and a historic Baptist church, offering a glimpse of local culture beyond the beach resorts.",
San Andrés,Hood 4 Landmark,La Loma's hilltop First Baptist Church,
San Andrés,Hood 4 Map Link,https://www.google.com/maps/search/?api=1&query=La%20Loma%2C%20San%20Andr%C3%A9s,
San Andrés,Hood 4 High-end Hotel,La Loma homestays,
San Andrés,Hood 4 Mid-range Hotel,Hilltop guesthouses,
San Andrés,Hood 4 Budget Hotel,Raizal family-run inns,
San Andrés,Hood 5 Name,Sound Bay / North End Beaches,
San Andrés,Hood 5 Vibe,nightlife,
San Andrés,Hood 5 Description,"The lively main tourist beach along the North End, lined with hotels, bars, and water-sports operators.",
San Andrés,Hood 5 Landmark,The main North End tourist beach strip,
San Andrés,Hood 5 Map Link,https://www.google.com/maps/search/?api=1&query=Sound%20Bay%20/%20North%20End%20Beaches%2C%20San%20Andr%C3%A9s,
San Andrés,Hood 5 High-end Hotel,Decameron Isleño,
San Andrés,Hood 5 Mid-range Hotel,GHL Relax Hotel Isleño,
San Andrés,Hood 5 Budget Hotel,Casa Harb Hotel Boutique,
Savonlinna,Hood 5 Name,Pihlajaniemi,
Savonlinna,Hood 5 Vibe,quiet,
Savonlinna,Hood 5 Description,"A quiet lakeside residential area west of downtown, popular with locals for its swimming beach, forest trails and riding stables.",
Savonlinna,Hood 5 Landmark,Pihlajaniemi lakeshore and forest trails,
Savonlinna,Hood 5 Photo File,images/hoods/savonlinna--pihlajaniemi.webp,
Savonlinna,Hood 5 Photo Credit,https://commons.wikimedia.org/wiki/File:Talvikangas_School_Oulu_20250614_04.jpg,
Savonlinna,Hood 5 Map Link,https://www.google.com/maps/search/?api=1&query=Pihlajaniemi%2C%20Savonlinna,
Savonlinna,Hood 5 High-end Hotel,Hostel Malakias (summer only),
Savonlinna,Hood 5 Mid-range Hotel,Pihlajaniemi Lakeside Cottages,
Savonlinna,Hood 5 Budget Hotel,Camping Vuohisaari Cabins,
Sigiriya,Hood 4 Name,Sigiriya Village,
Sigiriya,Hood 4 Vibe,central,
Sigiriya,Hood 4 Description,"The small settlement near the site entrance with most guesthouses, restaurants, and the site museum.",
Sigiriya,Hood 4 Landmark,The small village of guesthouses and restaurants near the site entrance,
Sigiriya,Hood 4 Photo File,images/hoods/sigiriya--sigiriya-village.webp,
Sigiriya,Hood 4 Photo Credit,https://commons.wikimedia.org/wiki/File:Ahala-Cassia_fistula-Sri_Lanka_(1).jpg,
Sigiriya,Hood 4 Map Link,https://www.google.com/maps/search/?api=1&query=Sigiriya%20Village%2C%20Sigiriya,
Sigiriya,Hood 4 High-end Hotel,Sigiriya Village Hotel,
Sigiriya,Hood 4 Mid-range Hotel,Jetwing Vil Uyana,
Sigiriya,Hood 4 Budget Hotel,Village guesthouses and homestays,
Sigiriya,Hood 5 Name,Pidurangala Rock,
Sigiriya,Hood 5 Vibe,sights,
Sigiriya,Hood 5 Description,"A neighboring rock a short drive or tuk-tuk ride away, climbed mainly for its unobstructed sunrise view of Sigiriya itself.",
Sigiriya,Hood 5 Landmark,"Pidurangala Rock, the classic sunrise viewpoint of Sigiriya",
Sigiriya,Hood 5 Photo File,images/hoods/sigiriya--pidurangala-rock.webp,
Sigiriya,Hood 5 Photo Credit,https://commons.wikimedia.org/wiki/File:Aussicht_vom_Pidurangala-Fels.jpg,
Sigiriya,Hood 5 Map Link,https://www.google.com/maps/search/?api=1&query=Pidurangala%20Rock%2C%20Sigiriya,
Sigiriya,Hood 5 High-end Hotel,Pidurangala-area guesthouses,
Sigiriya,Hood 5 Mid-range Hotel,Sunrise-view lodges,
Sigiriya,Hood 5 Budget Hotel,Rural budget stays,
Tamanrasset,Hood 3 Name,Foucauld Hermitage Area,
Tamanrasset,Hood 3 Vibe,sights,
Tamanrasset,Hood 3 Description,"A quiet hilltop area a short drive from town, home to the hermitage of Charles de Foucauld and sweeping desert views.",
Tamanrasset,Hood 3 Landmark,Charles de Foucauld's stone hermitage,
Tamanrasset,Hood 3 Map Link,https://www.google.com/maps/search/?api=1&query=Foucauld%20Hermitage%20Area%2C%20Tamanrasset,
Tamanrasset,Hood 3 High-end Hotel,Foucauld-area guesthouses,
Tamanrasset,Hood 3 Mid-range Hotel,Small local inns,
Tamanrasset,Hood 3 Budget Hotel,Tamanrasset hotels with day-trip transport,
Tamanrasset,Hood 4 Name,Outskirts / Tuareg Camps,
Tamanrasset,Hood 4 Vibe,quiet,
Tamanrasset,Hood 4 Description,Semi-permanent Tuareg camps on the edge of town where visitors can experience traditional nomadic hospitality.,
Tamanrasset,Hood 4 Landmark,Traditional Tuareg encampments on the town's edge,
Tamanrasset,Hood 4 Map Link,https://www.google.com/maps/search/?api=1&query=Outskirts%20/%20Tuareg%20Camps%2C%20Tamanrasset,
Tamanrasset,Hood 4 High-end Hotel,Tuareg desert camps (tent stays),
Tamanrasset,Hood 4 Mid-range Hotel,Nomad-hosted overnight stays,
Tamanrasset,Hood 4 Budget Hotel,Guide-arranged bivouacs,
Tamanrasset,Hood 5 Name,Airport Road District,
Tamanrasset,Hood 5 Vibe,quiet,
Tamanrasset,Hood 5 Description,"A newer, quieter residential district with government buildings and the road out to the airport.",
Tamanrasset,Hood 5 Landmark,Tamanrasset's newer residential and administrative quarter,
Tamanrasset,Hood 5 Map Link,https://www.google.com/maps/search/?api=1&query=Airport%20Road%20District%2C%20Tamanrasset,
Tamanrasset,Hood 5 High-end Hotel,Hotel Zeribas Tinhinane,
Tamanrasset,Hood 5 Mid-range Hotel,Airport-area business hotels,
Tamanrasset,Hood 5 Budget Hotel,Local guesthouses,
Taormina,Hood 5 Name,Mazzarò,
Taormina,Hood 5 Vibe,sights,
Taormina,Hood 5 Description,"The harbor and beach area below Taormina, connected by cable car, popular for swimming and boat trips.",
Taormina,Hood 5 Landmark,Mazzarò's harbor and cable car base,
Taormina,Hood 5 Photo File,images/hoods/taormina--mazzaro.webp,
Taormina,Hood 5 Photo Credit,https://commons.wikimedia.org/wiki/File:Beautiful_beaches_of_Isola_Bella_Taormina_(5749375610).jpg,
Taormina,Hood 5 Map Link,https://www.google.com/maps/search/?api=1&query=Mazzar%C3%B2%2C%20Taormina,
Taormina,Hood 5 High-end Hotel,Mazzarò harbor hotels,
Taormina,Hood 5 Mid-range Hotel,Grand Hotel Mazzaro Sea Palace,
Taormina,Hood 5 Budget Hotel,Cable car base guesthouses,
Timimoun,Hood 4 Name,Market Area,
Timimoun,Hood 4 Vibe,central,
Timimoun,Hood 4 Description,The commercial center with the covered market and most hotels and restaurants.,
Timimoun,Hood 4 Landmark,Timimoun's central covered market,
Timimoun,Hood 4 Photo File,images/hoods/timimoun--market-area.webp,
Timimoun,Hood 4 Photo Credit,https://commons.wikimedia.org/wiki/File:K%C3%9Ctahya_Market_area_8954.jpg,
Timimoun,Hood 4 Map Link,https://www.google.com/maps/search/?api=1&query=Market%20Area%2C%20Timimoun,
Timimoun,Hood 4 High-end Hotel,Hotel Oasis Rouge,
Timimoun,Hood 4 Mid-range Hotel,Central market-area guesthouses,
Timimoun,Hood 4 Budget Hotel,Timimoun budget hotels,
