city,idx,landmark,stored_image,actually_is,hash_distance,reasons
niamey,9,National Assembly of Niger,images/landmarks/niamey-national-assembly-of-niger.webp,File:Coat of arms of Niger.svg,1,vector graphic
osogbo,4,Nike Centre for Art and Culture,images/landmarks/osogbo-nike-centre-for-art-and-culture.webp,File:Chief Nike Davies Okundaye.jpg,2,source article is a PERSON
port-of-spain,8,Lion House,images/landmarks/port-of-spain-lion-house.webp,File:Lev vyskakujici.svg,0,vector graphic
port-sudan,7,Red Sea Museum,images/landmarks/port-sudan-red-sea-museum.webp,File:2023 Israel–Hamas war - Bab-el-Mandeb.svg,0,vector graphic
riyadh,9,Riyadh Zoo,images/landmarks/riyadh-riyadh-zoo.webp,File:Riyadh Season Logo.svg,0,logo/emblem/flag; vector graphic
rovaniemi,2,SantaPark Arctic World,images/landmarks/rovaniemi-santapark-arctic-world.webp,File:Arctic circle.svg,2,vector graphic
tours,9,Rue Colbert,images/landmarks/tours-rue-colbert.webp,"File:Troy - Jean-Baptiste Colbert (1655-1746), marquis de Torcy.jpg",1,source article is a PERSON
trincomalee,9,Trincomalee Harbour,images/landmarks/trincomalee-trincomalee-harbour.webp,File:Sri Lanka districts Trincomalee.svg,1,vector graphic
turku,9,Turku Art Museum,images/landmarks/turku-turku-art-museum.webp,File:Stamp of Finland - 1929 - Colnect 45787 - 1 - 700th Anniversary of Turku - wmk Post Horn type w.jpeg,1,banknote/coin/stamp
urganch,4,Museum of Contemporary Art of Uzbekistan,images/landmarks/urganch-museum-of-contemporary-art-of-uzbekistan.webp,File:Flag of Uzbekistan.svg,1,logo/emblem/flag; vector graphic
ziguinchor,7,Place Jean-Paul II,images/landmarks/ziguinchor-place-jean-paul-ii.webp,File:Template-Bishop.svg,1,person portrait; vector graphic; source article is a PERSON
