rank,visitors_m,city_gaps,country,city,landmark,slug,idx,flickr_search_url,photo_url,owner,owner_url,status,notes
1.8,0.45,4,Togo,Lomé,Wharf Français (Old Colonial Pier),lome,8,https://www.flickr.com/search/?text=Wharf%20Français%20(Old%20Colonial%20Pier)%20Lomé&license=0,,,,not asked,
1.8,0.45,4,Togo,Lomé,Lomé Central Station (Gare de Lomé),lome,9,https://www.flickr.com/search/?text=Lomé%20Central%20Station%20(Gare%20de%20Lomé)%20Lomé&license=0,,,,not asked,
1.6,0.4,4,British Virgin Islands,Road Town,J.R. O'Neal Botanic Gardens,road-town,1,https://www.flickr.com/search/?text=J.R.%20O'Neal%20Botanic%20Gardens%20Road%20Town&license=0,,,,not asked,
1.6,0.4,4,British Virgin Islands,Road Town,Callwood Rum Distillery,road-town,5,https://www.flickr.com/search/?text=Callwood%20Rum%20Distillery%20Road%20Town&license=0,,,,not asked,
1.6,0.4,4,British Virgin Islands,Road Town,Crafts Alive Village,road-town,6,https://www.flickr.com/search/?text=Crafts%20Alive%20Village%20Road%20Town&license=0,,,,not asked,
1.6,0.4,4,British Virgin Islands,Road Town,1780 Lower Estate Sugar Works Museum,road-town,8,https://www.flickr.com/search/?text=1780%20Lower%20Estate%20Sugar%20Works%20Museum%20Road%20Town&license=0,,,,not asked,
1.6,0.8,2,Jordan,Aqaba,Cedar Pride Shipwreck,aqaba,5,https://www.flickr.com/search/?text=Cedar%20Pride%20Shipwreck%20Aqaba&license=0,,,,not asked,
1.6,0.8,2,Jordan,Aqaba,Aqaba Bird Observatory,aqaba,9,https://www.flickr.com/search/?text=Aqaba%20Bird%20Observatory%20Aqaba&license=0,,,,not asked,
1.6,1.6,1,Laos,Vientiane,COPE Visitor Centre,vientiane,9,https://www.flickr.com/search/?text=COPE%20Visitor%20Centre%20Vientiane&license=0,,,,not asked,
1.6,0.4,4,Saudi Arabia,Ta'if,Al Rudaf Park,ta-if,6,https://www.flickr.com/search/?text=Al%20Rudaf%20Park%20Ta'if&license=0,,,,not asked,
1.6,0.4,4,Saudi Arabia,Ta'if,Saiysad National Park,ta-if,7,https://www.flickr.com/search/?text=Saiysad%20National%20Park%20Ta'if&license=0,,,,not asked,
1.6,0.4,4,Saudi Arabia,Ta'if,Old Ta'if Souq (Souq Al Balad),ta-if,8,https://www.flickr.com/search/?text=Old%20Ta'if%20Souq%20(Souq%20Al%20Balad)%20Ta'if&license=0,,,,not asked,
1.6,0.4,4,Saudi Arabia,Ta'if,Al Kar Tourist Village,ta-if,9,https://www.flickr.com/search/?text=Al%20Kar%20Tourist%20Village%20Ta'if&license=0,,,,not asked,
1.5,0.5,3,Costa Rica,Liberia,Ponderosa Adventure Park,liberia,5,https://www.flickr.com/search/?text=Ponderosa%20Adventure%20Park%20Liberia&license=0,,,,not asked,
1.5,0.5,3,Costa Rica,Liberia,Museo de Sabanero,liberia,6,https://www.flickr.com/search/?text=Museo%20de%20Sabanero%20Liberia&license=0,,,,not asked,
1.5,0.5,3,Costa Rica,Liberia,Casa de la Cultura de Liberia,liberia,9,https://www.flickr.com/search/?text=Casa%20de%20la%20Cultura%20de%20Liberia%20Liberia&license=0,,,,not asked,
1.4,1.4,1,China,Harbin,Volga Manor,harbin,8,https://www.flickr.com/search/?text=Volga%20Manor%20Harbin&license=0,,,,not asked,
1.4,0.7,2,Tunisia,Monastir,Monastir Corniche and Plage de la Falaise,monastir,7,https://www.flickr.com/search/?text=Monastir%20Corniche%20and%20Plage%20de%20la%20Falaise%20Monastir&license=0,,,,not asked,
1.4,0.7,2,Tunisia,Monastir,Museum of Islamic Art,monastir,8,https://www.flickr.com/search/?text=Museum%20of%20Islamic%20Art%20Monastir&license=0,,,,not asked,
1.3,0.66,2,China,Lijiang,Wangu Tower on Lion Hill,lijiang,3,https://www.flickr.com/search/?text=Wangu%20Tower%20on%20Lion%20Hill%20Lijiang&license=0,,,,not asked,
1.3,0.66,2,China,Lijiang,Big Water Wheel,lijiang,8,https://www.flickr.com/search/?text=Big%20Water%20Wheel%20Lijiang&license=0,,,,not asked,
1.3,1.3,1,Côte d'Ivoire,Abidjan,Cocody Town Hall,abidjan,9,https://www.flickr.com/search/?text=Cocody%20Town%20Hall%20Abidjan&license=0,,,,not asked,
1.3,1.3,1,Kuwait,Kuwait City,Liberation Tower,kuwait-city,2,https://www.flickr.com/search/?text=Liberation%20Tower%20Kuwait%20City&license=0,,,,not asked,
1.3,1.3,1,Kuwait,Kuwait City,Kuwait National Museum,kuwait-city,5,https://www.flickr.com/search/?text=Kuwait%20National%20Museum%20Kuwait%20City&license=0,,,,not asked,
1.3,1.3,1,Kuwait,Kuwait City,Tareq Rajab Museum,kuwait-city,6,https://www.flickr.com/search/?text=Tareq%20Rajab%20Museum%20Kuwait%20City&license=0,,,,not asked,
1.3,1.3,1,Kuwait,Kuwait City,Sadu House,kuwait-city,7,https://www.flickr.com/search/?text=Sadu%20House%20Kuwait%20City&license=0,,,,not asked,
1.3,1.3,1,Thailand,Ko Samui,Lad Koh Viewpoint,ko-samui,9,https://www.flickr.com/search/?text=Lad%20Koh%20Viewpoint%20Ko%20Samui&license=0,,,,not asked,
1.3,1.3,1,Tunisia,Sousse,Boujaffar Beach,sousse,7,https://www.flickr.com/search/?text=Boujaffar%20Beach%20Sousse&license=0,,,,not asked,
1.2,0.6,2,Laos,Luang Prabang,Traditional Arts and Ethnology Centre (TAEC),luang-prabang,7,https://www.flickr.com/search/?text=Traditional%20Arts%20and%20Ethnology%20Centre%20(TAEC)%20Luang%20Prabang&license=0,,,,not asked,
1.2,0.6,2,Laos,Luang Prabang,Ban Chan Pottery Village,luang-prabang,9,https://www.flickr.com/search/?text=Ban%20Chan%20Pottery%20Village%20Luang%20Prabang&license=0,,,,not asked,
1.2,0.6,2,South Africa,Nelspruit,Nelspruit Nature Reserve,nelspruit,5,https://www.flickr.com/search/?text=Nelspruit%20Nature%20Reserve%20Nelspruit&license=0,,,,not asked,
1.2,0.6,2,South Africa,Nelspruit,I'langa Mall,nelspruit,7,https://www.flickr.com/search/?text=I'langa%20Mall%20Nelspruit&license=0,,,,not asked,
1.1,0.15,7,Botswana,Maun,Chief's Island,maun,2,https://www.flickr.com/search/?text=Chief's%20Island%20Maun&license=0,,,,not asked,
1.1,0.15,7,Botswana,Maun,Nhabe Museum,maun,3,https://www.flickr.com/search/?text=Nhabe%20Museum%20Maun&license=0,,,,not asked,
1.1,0.15,7,Botswana,Maun,Maun Educational Park,maun,4,https://www.flickr.com/search/?text=Maun%20Educational%20Park%20Maun&license=0,,,,not asked,
1.1,0.15,7,Botswana,Maun,Old Matlapaneng Bridge,maun,5,https://www.flickr.com/search/?text=Old%20Matlapaneng%20Bridge%20Maun&license=0,,,,not asked,
1.1,0.15,7,Botswana,Maun,Motsana Cultural Centre,maun,7,https://www.flickr.com/search/?text=Motsana%20Cultural%20Centre%20Maun&license=0,,,,not asked,
1.1,0.15,7,Botswana,Maun,Maun Environmental Education Centre,maun,8,https://www.flickr.com/search/?text=Maun%20Environmental%20Education%20Centre%20Maun&license=0,,,,not asked,
1.1,0.15,7,Botswana,Maun,Boro-bonche Ostrich Farm,maun,9,https://www.flickr.com/search/?text=Boro-bonche%20Ostrich%20Farm%20Maun&license=0,,,,not asked,
1,1,1,Bulgaria,Varna,Retro Museum,varna,6,https://www.flickr.com/search/?text=Retro%20Museum%20Varna&license=0,,,,not asked,
1,1,1,Rwanda,Kigali,Caplaki Craft Village,kigali,9,https://www.flickr.com/search/?text=Caplaki%20Craft%20Village%20Kigali&license=0,,,,not asked,
0.9,0.47,2,China,Zhaoqing,Licha Bagua Village,zhaoqing,8,https://www.flickr.com/search/?text=Licha%20Bagua%20Village%20Zhaoqing&license=0,,,,not asked,
0.9,0.47,2,China,Zhaoqing,China Inkstone Culture Village (Baishi),zhaoqing,9,https://www.flickr.com/search/?text=China%20Inkstone%20Culture%20Village%20(Baishi)%20Zhaoqing&license=0,,,,not asked,
0.9,0.9,1,Brazil,Foz do Iguaçu,Refúgio Biológico Bela Vista,foz-do-iguacu,8,https://www.flickr.com/search/?text=Refúgio%20Biológico%20Bela%20Vista%20Foz%20do%20Iguaçu&license=0,,,,not asked,
0.9,0.9,1,Turkey,Trabzon,Bedesten Bazaar,trabzon,8,https://www.flickr.com/search/?text=Bedesten%20Bazaar%20Trabzon&license=0,,,,not asked,
0.9,0.9,1,United States,Anaheim,Center Street Promenade,anaheim,7,https://www.flickr.com/search/?text=Center%20Street%20Promenade%20Anaheim&license=0,,,,not asked,
0.9,0.3,3,China,Shangri-La,Dabao Temple (Dabaosi),shangri-la,6,https://www.flickr.com/search/?text=Dabao%20Temple%20(Dabaosi)%20Shangri-La&license=0,,,,not asked,
0.9,0.3,3,China,Shangri-La,Gucheng Zangjingtang,shangri-la,8,https://www.flickr.com/search/?text=Gucheng%20Zangjingtang%20Shangri-La&license=0,,,,not asked,
0.9,0.3,3,Dominican Republic,La Romana,Regional Museum of Archaeology (Altos de Chavón),la-romana,4,https://www.flickr.com/search/?text=Regional%20Museum%20of%20Archaeology%20(Altos%20de%20Chavón)%20La%20Romana&license=0,,,,not asked,
0.9,0.3,3,Dominican Republic,La Romana,Dye Fore Golf Course,la-romana,7,https://www.flickr.com/search/?text=Dye%20Fore%20Golf%20Course%20La%20Romana&license=0,,,,not asked,
0.9,0.3,3,Dominican Republic,La Romana,Playa Minitas,la-romana,9,https://www.flickr.com/search/?text=Playa%20Minitas%20La%20Romana&license=0,,,,not asked,
0.8,0.85,1,Fiji,Nadi,Momi Battery Historical Park,nadi,7,https://www.flickr.com/search/?text=Momi%20Battery%20Historical%20Park%20Nadi&license=0,,,,not asked,
0.8,0.14,6,Anguilla,The Valley,St. Gerard's Roman Catholic Church,the-valley,1,https://www.flickr.com/search/?text=St.%20Gerard's%20Roman%20Catholic%20Church%20The%20Valley&license=0,,,,not asked,
0.8,0.14,6,Anguilla,The Valley,Old Valley Well and Historic Village,the-valley,3,https://www.flickr.com/search/?text=Old%20Valley%20Well%20and%20Historic%20Village%20The%20Valley&license=0,,,,not asked,
0.8,0.14,6,Anguilla,The Valley,Ebenezer Methodist Church,the-valley,4,https://www.flickr.com/search/?text=Ebenezer%20Methodist%20Church%20The%20Valley&license=0,,,,not asked,
0.8,0.14,6,Anguilla,The Valley,Fountain Cavern National Park,the-valley,5,https://www.flickr.com/search/?text=Fountain%20Cavern%20National%20Park%20The%20Valley&license=0,,,,not asked,
0.8,0.14,6,Anguilla,The Valley,Crocus Bay and Little Bay,the-valley,7,https://www.flickr.com/search/?text=Crocus%20Bay%20and%20Little%20Bay%20The%20Valley&license=0,,,,not asked,
0.8,0.14,6,Anguilla,The Valley,Big Spring Heritage Site (Island Harbour),the-valley,8,https://www.flickr.com/search/?text=Big%20Spring%20Heritage%20Site%20(Island%20Harbour)%20The%20Valley&license=0,,,,not asked,
0.8,0.4,2,Mexico,Ensenada,Mirador El Ciprés (Chapultepec Hill),ensenada,8,https://www.flickr.com/search/?text=Mirador%20El%20Ciprés%20(Chapultepec%20Hill)%20Ensenada&license=0,,,,not asked,
0.8,0.4,2,Mexico,Ensenada,Museo Caracol (Museo de Ciencias),ensenada,9,https://www.flickr.com/search/?text=Museo%20Caracol%20(Museo%20de%20Ciencias)%20Ensenada&license=0,,,,not asked,
0.8,0.8,1,Paraguay,Asunción,Antigua Estación Central del Ferrocarril,asuncion,7,https://www.flickr.com/search/?text=Antigua%20Estación%20Central%20del%20Ferrocarril%20Asunción&license=0,,,,not asked,
0.8,0.4,2,Zimbabwe,Harare,Chapungu Sculpture Park,harare,6,https://www.flickr.com/search/?text=Chapungu%20Sculpture%20Park%20Harare&license=0,,,,not asked,
0.8,0.4,2,Zimbabwe,Harare,Domboshava Rocks,harare,7,https://www.flickr.com/search/?text=Domboshava%20Rocks%20Harare&license=0,,,,not asked,
0.8,0.15,5,Rwanda,Gisenyi,Nyamyumba Hot Springs,gisenyi,2,https://www.flickr.com/search/?text=Nyamyumba%20Hot%20Springs%20Gisenyi&license=0,,,,not asked,
0.8,0.15,5,Rwanda,Gisenyi,Congo Nile Trail (Northern Trailhead),gisenyi,3,https://www.flickr.com/search/?text=Congo%20Nile%20Trail%20(Northern%20Trailhead)%20Gisenyi&license=0,,,,not asked,
0.8,0.15,5,Rwanda,Gisenyi,Imbabazi Gardens (Rosamond Carr's Mugongo),gisenyi,5,https://www.flickr.com/search/?text=Imbabazi%20Gardens%20(Rosamond%20Carr's%20Mugongo)%20Gisenyi&license=0,,,,not asked,
0.8,0.15,5,Rwanda,Gisenyi,Pfunda Tea Estate,gisenyi,6,https://www.flickr.com/search/?text=Pfunda%20Tea%20Estate%20Gisenyi&license=0,,,,not asked,
0.8,0.15,5,Rwanda,Gisenyi,Gisenyi Central Market,gisenyi,8,https://www.flickr.com/search/?text=Gisenyi%20Central%20Market%20Gisenyi&license=0,,,,not asked,
0.7,0.65,1,Sri Lanka,Negombo,Duwa Fishing Village,negombo,8,https://www.flickr.com/search/?text=Duwa%20Fishing%20Village%20Negombo&license=0,,,,not asked,
0.6,0.2,3,Belize,Belize City,Image Factory Art Foundation,belize-city,8,https://www.flickr.com/search/?text=Image%20Factory%20Art%20Foundation%20Belize%20City&license=0,,,,not asked,
0.6,0.2,3,Belize,Belize City,Yarborough Cemetery,belize-city,9,https://www.flickr.com/search/?text=Yarborough%20Cemetery%20Belize%20City&license=0,,,,not asked,
0.6,0.2,3,Guatemala,Flores,Jorge's Rope Swing,flores,6,https://www.flickr.com/search/?text=Jorge's%20Rope%20Swing%20Flores&license=0,,,,not asked,
0.6,0.2,3,Guatemala,Flores,ARCAS Wildlife Rescue Center,flores,7,https://www.flickr.com/search/?text=ARCAS%20Wildlife%20Rescue%20Center%20Flores&license=0,,,,not asked,
0.6,0.2,3,Guatemala,Flores,Parque Natural Ixpanpajul,flores,8,https://www.flickr.com/search/?text=Parque%20Natural%20Ixpanpajul%20Flores&license=0,,,,not asked,
0.6,0.2,3,Honduras,San Pedro Sula,Mercado Guamilito,san-pedro-sula,3,https://www.flickr.com/search/?text=Mercado%20Guamilito%20San%20Pedro%20Sula&license=0,,,,not asked,
0.6,0.2,3,Honduras,San Pedro Sula,Museo de la Naturaleza,san-pedro-sula,8,https://www.flickr.com/search/?text=Museo%20de%20la%20Naturaleza%20San%20Pedro%20Sula&license=0,,,,not asked,
0.6,0.2,3,Honduras,San Pedro Sula,Cathedral viewpoint at El Merendón,san-pedro-sula,9,https://www.flickr.com/search/?text=Cathedral%20viewpoint%20at%20El%20Merendón%20San%20Pedro%20Sula&license=0,,,,not asked,
0.6,0.2,3,Saint-Martin,Marigot,Rue de la République,marigot,3,https://www.flickr.com/search/?text=Rue%20de%20la%20République%20Marigot&license=0,,,,not asked,
0.6,0.2,3,Saint-Martin,Marigot,Loterie Farm,marigot,5,https://www.flickr.com/search/?text=Loterie%20Farm%20Marigot&license=0,,,,not asked,
0.6,0.2,3,Saint-Martin,Marigot,Friar's Bay Beach,marigot,7,https://www.flickr.com/search/?text=Friar's%20Bay%20Beach%20Marigot&license=0,,,,not asked,
0.6,0.2,3,Sri Lanka,Bentota,Bentota River Safari,bentota,3,https://www.flickr.com/search/?text=Bentota%20River%20Safari%20Bentota&license=0,,,,not asked,
0.6,0.2,3,Sri Lanka,Bentota,Galapata Raja Maha Viharaya,bentota,7,https://www.flickr.com/search/?text=Galapata%20Raja%20Maha%20Viharaya%20Bentota&license=0,,,,not asked,
0.6,0.2,3,Sri Lanka,Bentota,Paradise Island Sandbar (Aluthgama),bentota,8,https://www.flickr.com/search/?text=Paradise%20Island%20Sandbar%20(Aluthgama)%20Bentota&license=0,,,,not asked,
0.6,0.6,1,Japan,Otaru,Otaru Sushiya-dori (Sushi Street),otaru,8,https://www.flickr.com/search/?text=Otaru%20Sushiya-dori%20(Sushi%20Street)%20Otaru&license=0,,,,not asked,
0.6,0.6,1,Zambia,Lusaka,Kabwata Cultural Village,lusaka,9,https://www.flickr.com/search/?text=Kabwata%20Cultural%20Village%20Lusaka&license=0,,,,not asked,
0.6,0.55,1,Egypt,Marsa Alam,Samadai Reef (Dolphin House),marsa-alam,4,https://www.flickr.com/search/?text=Samadai%20Reef%20(Dolphin%20House)%20Marsa%20Alam&license=0,,,,not asked,
0.5,0.25,2,Benin,Cotonou,Cotonou Friendship Bridge (Pont du Novotel),cotonou,6,https://www.flickr.com/search/?text=Cotonou%20Friendship%20Bridge%20(Pont%20du%20Novotel)%20Cotonou&license=0,,,,not asked,
0.5,0.25,2,Benin,Cotonou,Musée de la Fondation Zinsou Ouidah Route (Route des Esclaves gateway),cotonou,8,https://www.flickr.com/search/?text=Musée%20de%20la%20Fondation%20Zinsou%20Ouidah%20Route%20(Route%20des%20Esclaves%20gateway)%20Cotonou&license=0,,,,not asked,
0.5,0.25,2,Greece,Kalamata,Monastery of Kalograion (Nuns' Monastery),kalamata,7,https://www.flickr.com/search/?text=Monastery%20of%20Kalograion%20(Nuns'%20Monastery)%20Kalamata&license=0,,,,not asked,
0.5,0.25,2,Greece,Kalamata,Kalamata Costume Museum (Benaki Museum Annex),kalamata,9,https://www.flickr.com/search/?text=Kalamata%20Costume%20Museum%20(Benaki%20Museum%20Annex)%20Kalamata&license=0,,,,not asked,
0.5,0.25,2,Kyrgyzstan,Karakol,Holy Trinity Orthodox Cathedral,karakol,1,https://www.flickr.com/search/?text=Holy%20Trinity%20Orthodox%20Cathedral%20Karakol&license=0,,,,not asked,
0.5,0.25,2,Kyrgyzstan,Karakol,Karakol Ski Base,karakol,9,https://www.flickr.com/search/?text=Karakol%20Ski%20Base%20Karakol&license=0,,,,not asked,
0.5,0.25,2,Malawi,Lilongwe,Lilongwe Golf Club,lilongwe,6,https://www.flickr.com/search/?text=Lilongwe%20Golf%20Club%20Lilongwe&license=0,,,,not asked,
0.5,0.25,2,Malawi,Lilongwe,Kamuzu Institute for Sports,lilongwe,9,https://www.flickr.com/search/?text=Kamuzu%20Institute%20for%20Sports%20Lilongwe&license=0,,,,not asked,
0.5,0.5,1,Vietnam,Sa Pa,Thac Tinh Yeu (Love Waterfall),sa-pa,6,https://www.flickr.com/search/?text=Thac%20Tinh%20Yeu%20(Love%20Waterfall)%20Sa%20Pa&license=0,,,,not asked,
0.5,0.12,4,Malawi,Blantyre,Michiru Mountain Nature Sanctuary,blantyre,3,https://www.flickr.com/search/?text=Michiru%20Mountain%20Nature%20Sanctuary%20Blantyre&license=0,,,,not asked,
0.5,0.12,4,Malawi,Blantyre,Jacaranda Cultural Centre,blantyre,7,https://www.flickr.com/search/?text=Jacaranda%20Cultural%20Centre%20Blantyre&license=0,,,,not asked,
0.5,0.12,4,Malawi,Blantyre,Blantyre Crafts Market (Pa Ziboli-boli),blantyre,8,https://www.flickr.com/search/?text=Blantyre%20Crafts%20Market%20(Pa%20Ziboli-boli)%20Blantyre&license=0,,,,not asked,
